Index,Original,Modified
1185,04/29/2020,2020-04-29
1188,05/02/2020,2020-05-02
1189,04/29/2020,2020-04-29
1190,05/03/2020,2020-05-03
1195,04/11/2020,2020-04-11
1196,05/22/2020,2020-05-22
1199,04/30/2020,2020-04-30
1201,04/09/2020,2020-04-09
1202,06/09/2020,2020-06-09
1203,04/15/2020,2020-04-15
1208,05/23/2020,2020-05-23
1209,04/11/2020,2020-04-11
1213,05/03/2020,2020-05-03
1217,07/29/2020,2020-07-29
1219,05/16/2020,2020-05-16
1220,05/03/2020,2020-05-03
1222,04/11/2020,2020-04-11
1224,05/27/2020,2020-05-27
1225,05/05/2020,2020-05-05
1228,04/11/2020,2020-04-11
1229,04/08/2020,2020-04-08
1233,05/07/2020,2020-05-07
1235,04/15/2020,2020-04-15
1237,05/22/2020,2020-05-22
1238,04/30/2020,2020-04-30
1239,04/27/2020,2020-04-27
1240,05/04/2020,2020-05-04
1241,04/14/2020,2020-04-14
1242,05/03/2020,2020-05-03
1243,04/30/2020,2020-04-30
1245,04/27/2020,2020-04-27
1247,05/11/2020,2020-05-11
1248,04/13/2020,2020-04-13
1251,04/11/2020,2020-04-11
1254,04/28/2020,2020-04-28
1258,05/01/2020,2020-05-01
1259,04/06/2020,2020-04-06
1260,05/20/2020,2020-05-20
1262,04/07/2020,2020-04-07
1264,04/28/2020,2020-04-28
1266,07/29/2020,2020-07-29
1267,04/14/2020,2020-04-14
1269,04/29/2020,2020-04-29
1270,04/12/2020,2020-04-12
1272,05/03/2020,2020-05-03
1277,04/29/2020,2020-04-29
1278,04/10/2020,2020-04-10
1280,04/29/2020,2020-04-29
1283,06/18/2020,2020-06-18
1284,04/07/2020,2020-04-07
1285,04/05/2020,2020-04-05
1289,04/09/2020,2020-04-09
1294,04/10/2020,2020-04-10
1295,07/09/2020,2020-07-09
1296,05/18/2020,2020-05-18
1297,04/30/2020,2020-04-30
1298,05/27/2020,2020-05-27
1300,04/12/2020,2020-04-12
1301,05/14/2020,2020-05-14
1305,06/04/2020,2020-06-04
1306,04/28/2020,2020-04-28
1307,05/08/2020,2020-05-08
1309,05/12/2020,2020-05-12
1311,04/14/2020,2020-04-14
1314,04/30/2020,2020-04-30
1316,04/28/2020,2020-04-28
1317,05/15/2020,2020-05-15
1318,04/07/2020,2020-04-07
1319,08/08/2020,2020-08-08
1321,04/10/2020,2020-04-10
1326,04/07/2020,2020-04-07
1332,04/29/2020,2020-04-29
1333,04/12/2020,2020-04-12
1337,04/09/2020,2020-04-09
1338,04/06/2020,2020-04-06
1340,04/28/2020,2020-04-28
1341,04/07/2020,2020-04-07
1342,04/14/2020,2020-04-14
1343,04/28/2020,2020-04-28
1344,04/28/2020,2020-04-28
1345,05/28/2020,2020-05-28
1346,04/30/2020,2020-04-30
1347,04/14/2020,2020-04-14
1349,04/27/2020,2020-04-27
1352,04/30/2020,2020-04-30
1353,04/29/2020,2020-04-29
1354,04/29/2020,2020-04-29
1356,05/05/2020,2020-05-05
1358,04/06/2020,2020-04-06
1359,05/06/2020,2020-05-06
1367,04/15/2020,2020-04-15
1368,04/12/2020,2020-04-12
1369,04/14/2020,2020-04-14
1371,05/12/2020,2020-05-12
1373,04/29/2020,2020-04-29
1374,04/15/2020,2020-04-15
1375,04/15/2020,2020-04-15
1377,05/07/2020,2020-05-07
1378,04/27/2020,2020-04-27
1379,04/28/2020,2020-04-28
1380,04/16/2020,2020-04-16
1381,05/06/2020,2020-05-06
1382,04/06/2020,2020-04-06
1383,05/04/2020,2020-05-04
1385,05/06/2020,2020-05-06
1387,05/01/2020,2020-05-01
1388,04/09/2020,2020-04-09
1389,04/29/2020,2020-04-29
1393,04/28/2020,2020-04-28
1394,05/09/2020,2020-05-09
1397,04/15/2020,2020-04-15
1399,05/06/2020,2020-05-06
1400,04/08/2020,2020-04-08
1401,04/27/2020,2020-04-27
1402,07/13/2020,2020-07-13
1403,07/17/2020,2020-07-17
1405,05/11/2020,2020-05-11
1406,04/06/2020,2020-04-06
1408,05/05/2020,2020-05-05
1410,05/02/2020,2020-05-02
1411,08/04/2020,2020-08-04
1413,04/16/2020,2020-04-16
1416,07/11/2020,2020-07-11
1418,05/01/2020,2020-05-01
1424,04/16/2020,2020-04-16
1426,05/04/2020,2020-05-04
1427,04/11/2020,2020-04-11
1429,04/13/2020,2020-04-13
1431,05/01/2020,2020-05-01
1433,04/30/2020,2020-04-30
1434,05/02/2020,2020-05-02
1435,06/10/2020,2020-06-10
1436,04/30/2020,2020-04-30
1437,05/29/2020,2020-05-29
1438,04/13/2020,2020-04-13
1439,06/08/2020,2020-06-08
1442,04/09/2020,2020-04-09
1444,04/15/2020,2020-04-15
1445,04/30/2020,2020-04-30
1446,04/12/2020,2020-04-12
1449,05/08/2020,2020-05-08
1450,04/06/2020,2020-04-06
1453,04/12/2020,2020-04-12
1454,04/11/2020,2020-04-11
1457,05/08/2020,2020-05-08
1458,07/23/2020,2020-07-23
1461,04/30/2020,2020-04-30
1463,05/20/2020,2020-05-20
1464,04/11/2020,2020-04-11
1465,04/06/2020,2020-04-06
1468,04/15/2020,2020-04-15
1469,04/06/2020,2020-04-06
1470,04/30/2020,2020-04-30
1471,04/29/2020,2020-04-29
1472,05/06/2020,2020-05-06
1473,05/22/2020,2020-05-22
1475,06/03/2020,2020-06-03
1476,04/06/2020,2020-04-06
1477,04/11/2020,2020-04-11
1478,04/06/2020,2020-04-06
1481,05/15/2020,2020-05-15
1482,04/28/2020,2020-04-28
1483,04/15/2020,2020-04-15
1484,04/14/2020,2020-04-14
1485,04/28/2020,2020-04-28
1489,06/04/2020,2020-06-04
1490,04/14/2020,2020-04-14
1492,05/14/2020,2020-05-14
1493,07/29/2020,2020-07-29
1494,05/01/2020,2020-05-01
1498,04/30/2020,2020-04-30
1500,04/06/2020,2020-04-06
1505,04/30/2020,2020-04-30
1508,05/04/2020,2020-05-04
1510,04/11/2020,2020-04-11
1511,04/28/2020,2020-04-28
1513,05/05/2020,2020-05-05
1514,04/15/2020,2020-04-15
1516,04/05/2020,2020-04-05
1520,05/10/2020,2020-05-10
1522,04/29/2020,2020-04-29
1527,04/28/2020,2020-04-28
1528,04/15/2020,2020-04-15
1531,04/14/2020,2020-04-14
1532,04/15/2020,2020-04-15
1533,05/08/2020,2020-05-08
1535,05/04/2020,2020-05-04
1536,04/14/2020,2020-04-14
1537,04/16/2020,2020-04-16
1538,05/05/2020,2020-05-05
1539,04/05/2020,2020-04-05
1545,05/26/2020,2020-05-26
1546,04/27/2020,2020-04-27
1547,04/10/2020,2020-04-10
1549,05/02/2020,2020-05-02
1551,04/12/2020,2020-04-12
1552,04/06/2020,2020-04-06
1554,06/02/2020,2020-06-02
1555,04/30/2020,2020-04-30
1556,04/13/2020,2020-04-13
1558,04/29/2020,2020-04-29
1560,04/14/2020,2020-04-14
1562,05/14/2020,2020-05-14
1563,04/27/2020,2020-04-27
