Index,Original,Modified
217,04/07/2020,2020-04-07
220,04/12/2020,2020-04-12
225,08/07/2020,2020-08-07
226,07/09/2020,2020-07-09
227,04/30/2020,2020-04-30
231,04/29/2020,2020-04-29
235,06/30/2020,2020-06-30
240,04/06/2020,2020-04-06
249,04/09/2020,2020-04-09
250,04/10/2020,2020-04-10
251,05/21/2020,2020-05-21
254,04/13/2020,2020-04-13
256,04/30/2020,2020-04-30
257,05/04/2020,2020-05-04
258,04/14/2020,2020-04-14
259,04/15/2020,2020-04-15
261,04/29/2020,2020-04-29
262,04/28/2020,2020-04-28
267,05/05/2020,2020-05-05
272,04/14/2020,2020-04-14
274,04/16/2020,2020-04-16
276,06/17/2020,2020-06-17
285,04/07/2020,2020-04-07
290,05/06/2020,2020-05-06
291,05/02/2020,2020-05-02
295,04/28/2020,2020-04-28
296,05/07/2020,2020-05-07
297,04/09/2020,2020-04-09
298,07/27/2020,2020-07-27
301,04/30/2020,2020-04-30
302,04/10/2020,2020-04-10
303,04/06/2020,2020-04-06
304,04/28/2020,2020-04-28
305,06/25/2020,2020-06-25
306,04/29/2020,2020-04-29
307,04/09/2020,2020-04-09
311,05/01/2020,2020-05-01
312,04/09/2020,2020-04-09
313,04/09/2020,2020-04-09
318,05/01/2020,2020-05-01
319,05/09/2020,2020-05-09
322,04/10/2020,2020-04-10
323,04/12/2020,2020-04-12
324,05/05/2020,2020-05-05
325,04/28/2020,2020-04-28
329,04/13/2020,2020-04-13
332,04/30/2020,2020-04-30
333,06/29/2020,2020-06-29
334,04/10/2020,2020-04-10
336,04/29/2020,2020-04-29
338,04/30/2020,2020-04-30
340,05/06/2020,2020-05-06
342,05/02/2020,2020-05-02
346,04/10/2020,2020-04-10
347,04/16/2020,2020-04-16
348,05/07/2020,2020-05-07
354,04/11/2020,2020-04-11
356,06/16/2020,2020-06-16
357,06/23/2020,2020-06-23
358,05/14/2020,2020-05-14
359,04/30/2020,2020-04-30
360,04/13/2020,2020-04-13
361,04/14/2020,2020-04-14
362,04/29/2020,2020-04-29
364,04/16/2020,2020-04-16
366,05/09/2020,2020-05-09
368,04/27/2020,2020-04-27
369,05/09/2020,2020-05-09
370,04/28/2020,2020-04-28
373,04/14/2020,2020-04-14
375,04/06/2020,2020-04-06
381,04/07/2020,2020-04-07
382,06/10/2020,2020-06-10
383,05/06/2020,2020-05-06
384,04/30/2020,2020-04-30
387,06/05/2020,2020-06-05
388,05/06/2020,2020-05-06
389,05/03/2020,2020-05-03
390,04/10/2020,2020-04-10
391,04/07/2020,2020-04-07
393,04/07/2020,2020-04-07
394,04/15/2020,2020-04-15
396,04/11/2020,2020-04-11
397,05/01/2020,2020-05-01
398,04/10/2020,2020-04-10
405,04/30/2020,2020-04-30
406,04/09/2020,2020-04-09
409,04/05/2020,2020-04-05
410,04/03/2020,2020-04-03
413,04/03/2020,2020-04-03
414,04/30/2020,2020-04-30
417,04/30/2020,2020-04-30
424,04/16/2020,2020-04-16
426,04/13/2020,2020-04-13
427,04/28/2020,2020-04-28
431,04/28/2020,2020-04-28
433,04/29/2020,2020-04-29
434,04/30/2020,2020-04-30
435,05/05/2020,2020-05-05
437,05/12/2020,2020-05-12
439,04/05/2020,2020-04-05
440,04/15/2020,2020-04-15
441,06/04/2020,2020-06-04
442,05/20/2020,2020-05-20
444,04/27/2020,2020-04-27
445,04/10/2020,2020-04-10
447,04/16/2020,2020-04-16
448,05/07/2020,2020-05-07
449,05/12/2020,2020-05-12
454,05/01/2020,2020-05-01
455,04/28/2020,2020-04-28
456,04/29/2020,2020-04-29
457,04/12/2020,2020-04-12
460,04/29/2020,2020-04-29
461,04/30/2020,2020-04-30
463,04/28/2020,2020-04-28
464,05/08/2020,2020-05-08
466,05/07/2020,2020-05-07
467,04/28/2020,2020-04-28
469,04/03/2020,2020-04-03
470,04/27/2020,2020-04-27
472,04/27/2020,2020-04-27
474,04/30/2020,2020-04-30
479,04/29/2020,2020-04-29
480,05/06/2020,2020-05-06
482,04/11/2020,2020-04-11
483,04/29/2020,2020-04-29
484,04/05/2020,2020-04-05
485,04/05/2020,2020-04-05
487,04/12/2020,2020-04-12
488,05/08/2020,2020-05-08
495,05/05/2020,2020-05-05
498,04/28/2020,2020-04-28
499,04/05/2020,2020-04-05
501,04/14/2020,2020-04-14
502,04/05/2020,2020-04-05
503,04/27/2020,2020-04-27
504,04/27/2020,2020-04-27
505,04/11/2020,2020-04-11
506,05/23/2020,2020-05-23
